,tconst,films,Unnamed: 0,Unnamed: 0.1,averageRating,Films,Img,Année,runtimeMinutes,genres,Decennie
25,tt0372824,Les choristes,17078,18893,7.9,Les choristes,https://m.media-amazon.com/images/M/MV5BNzMxY2ZkY2UtZGE0Yi00MDFhLWEwNmEtNDE2MjNhMDYwNjliXkEyXkFqcGdeQXVyNzQzNzQxNzI@.jpg,2004,97,"['Comedy', 'Drama', 'Music']",2000s
26,tt2582802,Whiplash,26745,31717,8.5,Whiplash,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,2014,106,"['Drama', 'Music']",2010s
27,tt0285800,Notre-Dame de Paris,15702,17411,8.9,Notre-Dame de Paris,https://m.media-amazon.com/images/M/MV5BMTk4NDgyNTQ4NF5BMl5BanBnXkFtZTcwNjMwMDUxMQ@@.jpg,1998,150,"['Drama', 'Music', 'Musical']",1990s
28,tt0084747,Sweeney Todd: The Demon Barber of Fleet Street,7193,8161,8.4,Sweeney Todd: The Demon Barber of Fleet Street,https://m.media-amazon.com/images/M/MV5BYTk2ZTkwOWEtY2I2YS00MDU1LThjZTAtMmYwYTdkYTMzZTM2L2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@.jpg,1982,140,"['Drama', 'Horror', 'Musical']",1980s
29,tt0114369,Seven,11572,12942,8.6,Seven,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,1995,127,"['Crime', 'Drama', 'Mystery']",1990s
30,tt0167404,Sixième sens,13749,15281,8.2,Sixième sens,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg,1999,107,"['Drama', 'Mystery', 'Thriller']",1990s
31,tt1798709,Her,24425,26942,8.0,Her,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@.jpg,2013,126,"['Drama', 'Romance', 'Sci-Fi']",2010s
32,tt0120338,Titanic ,12595,14031,7.9,Titanic,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,1997,194,"['Drama', 'Romance']",1990s
33,tt0088247,Terminator ,7743,8782,8.1,Terminator,https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,1984,107,"['Action', 'Sci-Fi']",1980s
34,tt0133093,Matrix,13085,14558,8.7,Matrix,https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,1999,136,"['Action', 'Sci-Fi']",1990s
35,tt0209144,Memento ,14448,16042,8.5,Memento,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,2000,113,"['Mystery', 'Thriller']",2000s
36,tt1130884,Shutter Island,21160,23193,8.2,Shutter Island,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,2010,138,"['Mystery', 'Thriller']",2010s
37,tt2267998,Gone Girl,25907,30011,8.1,Gone Girl,https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@.jpg,2014,149,"['Drama', 'Mystery', 'Thriller']",2010s
38,tt1853728,Django Unchained,24663,27430,8.5,Django Unchained,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@.jpg,2012,165,"['Drama', 'Western']",2010s
39,tt0099348,Danse avec les loups,9460,10655,8.1,Danse avec les loups,https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@.jpg,1990,181,"['Adventure', 'Drama', 'Western']",1990s
40,tt0048424,La nuit du chasseur,1008,1124,8.0,La nuit du chasseur,https://m.media-amazon.com/images/M/MV5BYTNjN2M2MzYtZGEwMi00Mzc5LWEwYTMtODM1ZmRiZjFiNTU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,1955,92,"['Crime', 'Drama', 'Film-Noir']",1950s
41,tt0051207,Le faux coupable,1464,1619,7.4,Le faux coupable,https://m.media-amazon.com/images/M/MV5BOWFhOTM1NDItZTMyYi00MGZiLWFjYTktOWI3YTgzNGRjY2I3XkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,1956,105,"['Drama', 'Film-Noir']",1950s
42,tt0120737,Le Seigneur des anneaux : La Communauté de l'anneau,12737,14181,8.9,Le Seigneur des anneaux : La Communauté de l'anneau,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,2001,178,"['Action', 'Adventure', 'Drama']",2000s
43,tt0405159,Million Dollar Baby,17651,19489,8.1,Million Dollar Baby,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@.jpg,2004,132,"['Drama', 'Sport']",2000s
44,tt1291584,Warrior,22079,24161,8.2,Warrior,https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@.jpg,2011,140,"['Action', 'Drama', 'Sport']",2010s
45,tt3499096,Race,28053,34333,7.1,Race,https://m.media-amazon.com/images/M/MV5BMTQ3MDM1MDU2NF5BMl5BanBnXkFtZTgwMzM3OTIzNzE@.jpg,2016,134,"['Biography', 'Drama', 'Sport']",2010s
