,nconst,Catégorie,primaryName
2958,nm0000122,Acteur,Charles Chaplin
2960,nm0000122,Réalisateur,Charles Chaplin
2961,nm0000123,Acteur,George Clooney
2976,nm0000123,Producteur,George Clooney
3000,nm0000124,Acteur,Jennifer Connelly
3032,nm0000125,Acteur,Sean Connery
3085,nm0000126,Acteur,Kevin Costner
3100,nm0000126,Producteur,Kevin Costner
3125,nm0000127,Réalisateur,Wes Craven
3147,nm0000128,Acteur,Russell Crowe
3183,nm0000129,Acteur,Tom Cruise
3199,nm0000129,Producteur,Tom Cruise
3222,nm0000130,Acteur,Jamie Lee Curtis
3251,nm0000131,Acteur,John Cusack
3308,nm0000132,Acteur,Claire Danes
3328,nm0000133,Acteur,Geena Davis
3343,nm0000134,Acteur,Robert De Niro
3371,nm0000134,Producteur,Robert De Niro
3432,nm0000135,Acteur,John Denver
3433,nm0000136,Acteur,Johnny Depp
3466,nm0000136,Producteur,Johnny Depp
3481,nm0000137,Acteur,Bo Derek
3487,nm0000138,Acteur,Leonardo DiCaprio
3502,nm0000138,Producteur,Leonardo DiCaprio
3519,nm0000139,Acteur,Cameron Diaz
3553,nm0000140,Acteur,Michael Douglas
3554,nm0000140,Producteur,Michael Douglas
3596,nm0000141,Acteur,David Duchovny
3614,nm0000142,Acteur,Clint Eastwood
3630,nm0000142,Réalisateur,Clint Eastwood
3657,nm0000142,Producteur,Clint Eastwood
3667,nm0000142,Compositeur,Clint Eastwood
3677,nm0000143,Acteur,Erika Eleniak
3687,nm0000144,Acteur,Cary Elwes
3715,nm0000145,Acteur,Sherilyn Fenn
3733,nm0000146,Acteur,Ralph Fiennes
3771,nm0000147,Acteur,Colin Firth
3807,nm0000147,Producteur,Colin Firth
3812,nm0000148,Acteur,Harrison Ford
3848,nm0000149,Acteur,Jodie Foster
3868,nm0000149,Réalisateur,Jodie Foster
3871,nm0000149,Producteur,Jodie Foster
3882,nm0000150,Acteur,Michael J. Fox
3901,nm0000150,Producteur,Michael J. Fox
3908,nm0000151,Acteur,Morgan Freeman
3918,nm0000151,Réalisateur,Morgan Freeman
3963,nm0000152,Acteur,Richard Gere
4007,nm0000153,Acteur,Gina Gershon
4026,nm0000154,Acteur,Mel Gibson
4060,nm0000154,Réalisateur,Mel Gibson
4061,nm0000154,Producteur,Mel Gibson
4070,nm0000155,Acteur,Whoopi Goldberg
4100,nm0000156,Acteur,Jeff Goldblum
4135,nm0000157,Acteur,Linda Hamilton
4151,nm0000158,Acteur,Tom Hanks
4177,nm0000158,Producteur,Tom Hanks
4205,nm0000159,Acteur,Teri Hatcher
4212,nm0000160,Acteur,Ethan Hawke
4227,nm0000160,Réalisateur,Ethan Hawke
4258,nm0000161,Acteur,Salma Hayek
4290,nm0000162,Acteur,Anne Heche
4298,nm0000162,Réalisateur,Anne Heche
4315,nm0000163,Acteur,Dustin Hoffman
4340,nm0000163,Producteur,Dustin Hoffman
4352,nm0000163,Réalisateur,Dustin Hoffman
4358,nm0000164,Acteur,Anthony Hopkins
4417,nm0000165,Acteur,Ron Howard
4425,nm0000165,Réalisateur,Ron Howard
4437,nm0000165,Producteur,Ron Howard
4457,nm0000166,Acteur,Helen Hunt
4480,nm0000167,Acteur,Elizabeth Hurley
4483,nm0000167,Producteur,Elizabeth Hurley
4494,nm0000168,Acteur,Samuel L. Jackson
4559,nm0000169,Acteur,Tommy Lee Jones
4603,nm0000170,Acteur,Milla Jovovich
4628,nm0000171,Acteur,Ashley Judd
4650,nm0000171,Réalisateur,Ashley Judd
4653,nm0000172,Acteur,Harvey Keitel
4713,nm0000173,Acteur,Nicole Kidman
4730,nm0000173,Producteur,Nicole Kidman
4761,nm0000174,Acteur,Val Kilmer
4808,nm0000175,Réalisateur,Stephen King
4809,nm0000176,Acteur,Nastassja Kinski
4844,nm0000177,Acteur,Kevin Kline
4880,nm0000178,Acteur,Diane Lane
4913,nm0000179,Acteur,Jude Law
4948,nm0000180,Réalisateur,David Lean
4957,nm0000181,Acteur,Heather Locklear
4964,nm0000182,Acteur,Jennifer Lopez
4982,nm0000182,Producteur,Jennifer Lopez
4987,nm0000183,Acteur,Traci Lords
4992,nm0000184,Réalisateur,George Lucas
4998,nm0000185,Acteur,Dolph Lundgren
5050,nm0000186,Réalisateur,David Lynch
5063,nm0000187,Acteur,Madonna
5075,nm0000187,Réalisateur,Madonna
5077,nm0000188,Acteur,Steve Martin
5115,nm0000189,Acteur,Jenny McCarthy Wahlberg
5120,nm0000190,Acteur,Matthew McConaughey
5158,nm0000191,Acteur,Ewan McGregor
5205,nm0000192,Acteur,Alyssa Milano
5217,nm0000193,Acteur,Demi Moore
5240,nm0000193,Producteur,Demi Moore
5255,nm0000193,Réalisateur,Demi Moore
5256,nm0000194,Acteur,Julianne Moore
5308,nm0000195,Acteur,Bill Murray
5343,nm0000196,Acteur,Mike Myers
5356,nm0000197,Acteur,Jack Nicholson
5366,nm0000197,Réalisateur,Jack Nicholson
5400,nm0000198,Acteur,Gary Oldman
5416,nm0000198,Réalisateur,Gary Oldman
5439,nm0000199,Acteur,Al Pacino
5482,nm0000199,Réalisateur,Al Pacino
5484,nm0000200,Acteur,Bill Paxton
5513,nm0000200,Réalisateur,Bill Paxton
5519,nm0000200,Producteur,Bill Paxton
5524,nm0000201,Acteur,Michelle Pfeiffer
5565,nm0000202,Acteur,Ryan Phillippe
5587,nm0000203,Acteur,River Phoenix
5598,nm0000204,Acteur,Natalie Portman
5626,nm0000205,Acteur,Parker Posey
5655,nm0000206,Acteur,Keanu Reeves
5700,nm0000207,Acteur,Christina Ricci
5730,nm0000208,Acteur,Molly Ringwald
5743,nm0000209,Acteur,Tim Robbins
5758,nm0000209,Réalisateur,Tim Robbins
5777,nm0000210,Acteur,Julia Roberts
5817,nm0000211,Acteur,Mimi Rogers
5836,nm0000211,Producteur,Mimi Rogers
5839,nm0000212,Acteur,Meg Ryan
5859,nm0000212,Producteur,Meg Ryan
5870,nm0000213,Acteur,Winona Ryder
5902,nm0000214,Acteur,Mia Sara
5908,nm0000215,Acteur,Susan Sarandon
5961,nm0000216,Acteur,Arnold Schwarzenegger
5978,nm0000216,Réalisateur,Arnold Schwarzenegger
5995,nm0000217,Réalisateur,Martin Scorsese
6009,nm0000217,Producteur,Martin Scorsese
6025,nm0000218,Acteur,Kristin Scott Thomas
6064,nm0000219,Acteur,Steven Seagal
6075,nm0000219,Producteur,Steven Seagal
6092,nm0000220,Acteur,Joan Severance
6099,nm0000221,Acteur,Charlie Sheen
6133,nm0000222,Acteur,Brooke Shields
6148,nm0000223,Acteur,Elisabeth Shue
6174,nm0000224,Acteur,Alicia Silverstone
6188,nm0000225,Acteur,Christian Slater
6236,nm0000226,Acteur,Will Smith
6249,nm0000226,Producteur,Will Smith
6265,nm0000227,Acteur,Mira Sorvino
6277,nm0000227,Producteur,Mira Sorvino
6292,nm0000228,Acteur,Kevin Spacey
6301,nm0000228,Réalisateur,Kevin Spacey
6319,nm0000228,Producteur,Kevin Spacey
6333,nm0000229,Réalisateur,Steven Spielberg
6347,nm0000229,Producteur,Steven Spielberg
6369,nm0000230,Acteur,Sylvester Stallone
6381,nm0000230,Réalisateur,Sylvester Stallone
6416,nm0000231,Réalisateur,Oliver Stone
6423,nm0000231,Producteur,Oliver Stone
6440,nm0000232,Acteur,Sharon Stone
6480,nm0000233,Réalisateur,Quentin Tarantino
6482,nm0000233,Acteur,Quentin Tarantino
6494,nm0000233,Producteur,Quentin Tarantino
6497,nm0000234,Acteur,Charlize Theron
6532,nm0000235,Acteur,Uma Thurman
6564,nm0000236,Acteur,Jennifer Tilly
6587,nm0000237,Acteur,John Travolta
6635,nm0000238,Acteur,Shannon Tweed
6639,nm0000239,Acteur,Liv Tyler
6656,nm0000240,Acteur,Skeet Ulrich
6666,nm0000241,Acteur,Jean-Claude Van Damme
6707,nm0000242,Acteur,Mark Wahlberg
6737,nm0000242,Producteur,Mark Wahlberg
6745,nm0000243,Acteur,Denzel Washington
6787,nm0000244,Acteur,Sigourney Weaver
6830,nm0000245,Acteur,Robin Williams
6877,nm0000246,Acteur,Bruce Willis
6941,nm0000247,Réalisateur,John Woo
6949,nm0000248,Acteur,Edward D. Wood Jr.
6950,nm0000248,Réalisateur,Edward D. Wood Jr.
6955,nm0000249,Acteur,James Woods
6998,nm0000250,Acteur,Renée Zellweger
7025,nm0000254,Acteur,Isabelle Adjani
7046,nm0000255,Acteur,Ben Affleck
7062,nm0000255,Producteur,Ben Affleck
7069,nm0000255,Réalisateur,Ben Affleck
7082,nm0000256,Acteur,Jenny Agutter
7096,nm0000257,Acteur,Alan Alda
7114,nm0000258,Acteur,Stephanie Zimbalist
7118,nm0000260,Acteur,Joan Allen
7138,nm0000261,Acteur,Karen Allen
7158,nm0000262,Acteur,Nancy Allen
7171,nm0000263,Acteur,Kirstie Alley
7185,nm0000264,Réalisateur,Pedro Almodóvar
7194,nm0000264,Producteur,Pedro Almodóvar
7209,nm0000265,Réalisateur,Robert Altman
7221,nm0000265,Producteur,Robert Altman
7251,nm0000266,Acteur,Ursula Andress
7270,nm0000267,Acteur,Julie Andrews
7291,nm0000268,Acteur,Ann-Margret
7326,nm0000269,Réalisateur,Jean-Jacques Annaud
7336,nm0000270,Acteur,Gabrielle Anwar
7348,nm0000271,Acteur,Anne Archer
7367,nm0000271,Producteur,Anne Archer
7368,nm0000272,Acteur,Fanny Ardant
7389,nm0000273,Acteur,Alan Arkin
7394,nm0000273,Réalisateur,Alan Arkin
7429,nm0000274,Acteur,David Arquette
7448,nm0000274,Producteur,David Arquette
7458,nm0000275,Acteur,Rosanna Arquette
7485,nm0000276,Acteur,Sean Astin
7512,nm0000277,Acteur,Richard Attenborough
7517,nm0000277,Producteur,Richard Attenborough
7526,nm0000277,Réalisateur,Richard Attenborough
7544,nm0000278,Acteur,Pernilla August
7546,nm0000279,Acteur,Hank Azaria
7560,nm0000280,Acteur,Catherine Bach
7561,nm0000281,Acteur,Scott Baio
7566,nm0000282,Acteur,Scott Bairstow
7572,nm0000283,Acteur,Brenda Bakke
7577,nm0000284,Acteur,Adam Baldwin
7594,nm0000285,Acteur,Alec Baldwin
7619,nm0000285,Réalisateur,Alec Baldwin
7643,nm0000286,Acteur,Stephen Baldwin
7671,nm0000287,Acteur,William Baldwin
7687,nm0000288,Acteur,Christian Bale
7722,nm0000289,Acteur,Ellen Barkin
7741,nm0000289,Producteur,Ellen Barkin
7747,nm0000290,Compositeur,John Barry
7804,nm0000291,Acteur,Angela Bassett
